,origin,destination,minutes
3282549,36047034000,36047005602,95.43
3282550,36047034000,36047016400,81.41
3282563,36047034000,36047029200,50.16
3282564,36047034000,36047028600,51.05
3282565,36047034000,36047028200,54.0
3282566,36047034000,36047028000,56.89
3282591,36047034000,36047033600,15.04
3282596,36047034000,36047046202,86.51
3282598,36047034000,36047045800,91.39
3282600,36047034000,36047046201,92.23
3282604,36047034000,36047048400,101.07
3282605,36047034000,36047046000,99.14
3282606,36047034000,36047048200,100.02
3282608,36047034000,36047049000,105.59
3282616,36047034000,36047049400,111.77
3282632,36047034000,36047043800,69.51
3282634,36047034000,36047044000,74.04
3282636,36047034000,36047044400,77.87
3282637,36047034000,36047044800,80.36
3282638,36047034000,36047045000,83.46
3282639,36047034000,36047045200,85.02
3282640,36047034000,36047036001,33.62
3282641,36047034000,36047036200,37.57
3282642,36047034000,36047035602,31.04
3282643,36047034000,36047035400,29.58
3282644,36047034000,36047035601,33.77
3282645,36047034000,36047036600,40.63
3282647,36047034000,36047034000,0.0
3282648,36047034000,36047035200,7.5
3282653,36047034000,36047033000,14.52
3282654,36047034000,36047034800,20.87
3282659,36047034000,36047036400,39.25
3282661,36047034000,36047037401,42.97
3282662,36047034000,36047037000,46.3
3282670,36047034000,36047039000,50.3
3282672,36047034000,36047039200,55.94
3282673,36047034000,36047039400,58.94
3282678,36047034000,36047041402,62.33
3282679,36047034000,36047041600,64.67
3282681,36047034000,36047041800,68.13
3282685,36047034000,36047042200,65.53
3282688,36047034000,36047042000,72.77
3282691,36047034000,36047044200,76.17
3282709,36047034000,36047061002,44.92
3282710,36047034000,36047036002,38.52
3282725,36047034000,36047061600,59.73
3282739,36047034000,36047066600,106.36
3282745,36047034000,36047070201,123.58
3283146,36047035200,36085012804,337.31
3283148,36047035200,36085011201,309.89
3283150,36047035200,36085012806,339.28
3283154,36047035200,36085007400,281.39
3283160,36047035200,36085001800,275.82
3283166,36047035200,36047005601,93.04
3283167,36047035200,36047005400,96.15
3283168,36047035200,36047005202,100.19
3283169,36047035200,36047005201,101.03
3283171,36047035200,36047005000,104.09
3283172,36047035200,36047004600,104.84
3283173,36047035200,36047004400,111.09
3283188,36047035200,36047013200,95.88
3283193,36047035200,36047012801,98.47
3283198,36047035200,36047012600,107.33
3283220,36047035200,36047007000,115.23
3283229,36047035200,36047002200,120.95
3283243,36047035200,36047003800,116.71
3283245,36047035200,36047003400,120.13
3283254,36047035200,36047017600,54.61
3283255,36047035200,36047016800,63.63
3283256,36047035200,36047017400,58.38
3283257,36047035200,36047015400,67.46
3283258,36047035200,36047005602,90.48
3283259,36047035200,36047016400,76.46
3283272,36047035200,36047029200,45.21
3283273,36047035200,36047028600,46.09
3283274,36047035200,36047028200,49.04
3283275,36047035200,36047028000,51.94
3283300,36047035200,36047033600,20.14
3283305,36047035200,36047046202,81.56
3283307,36047035200,36047045800,86.44
3283309,36047035200,36047046201,87.28
3283313,36047035200,36047048400,96.11
3283314,36047035200,36047046000,94.19
3283315,36047035200,36047048200,95.07
3283317,36047035200,36047049000,100.63
3283326,36047035200,36047049400,106.82
3283345,36047035200,36047043800,64.55
3283347,36047035200,36047044000,69.09
3283349,36047035200,36047044400,72.91
3283350,36047035200,36047044800,75.4
3283351,36047035200,36047045000,78.51
3283352,36047035200,36047045200,80.06
3283353,36047035200,36047036001,27.25
3283354,36047035200,36047036200,31.7
3283355,36047035200,36047035602,26.08
3283356,36047035200,36047035400,24.63
3283357,36047035200,36047035601,28.82
3283358,36047035200,36047036600,35.67
3283360,36047035200,36047034000,7.5
3283361,36047035200,36047035200,0.0
3283366,36047035200,36047033000,19.16
3283367,36047035200,36047034800,15.92
3283372,36047035200,36047036400,33.5
3283374,36047035200,36047037401,38.01
3283375,36047035200,36047037000,41.35
3283383,36047035200,36047039000,45.34
3283385,36047035200,36047039200,50.99
3283386,36047035200,36047039400,53.99
3283391,36047035200,36047041402,57.38
3283392,36047035200,36047041600,59.71
3283394,36047035200,36047041800,63.17
3283398,36047035200,36047042200,60.58
3283401,36047035200,36047042000,67.81
3283404,36047035200,36047044200,71.22
3283422,36047035200,36047061002,38.54
3283423,36047035200,36047036002,32.15
3283439,36047035200,36047061600,53.81
3283470,36047035200,36047066600,101.4
3283477,36047035200,36047070201,118.63
3283482,36047035200,36047069602,120.47
3283521,36047035200,36047099800,137.65
3283539,36047035200,36081091800,160.7
3283540,36047035200,36081092200,174.83
3283541,36047005000,36085012804,248.15
3283543,36047005000,36085011201,220.72
3283545,36047005000,36085027900,251.34
3283546,36047005000,36085013800,245.1
3283550,36047005000,36085018100,230.91
3283553,36047005000,36085027302,221.5
3283554,36047005000,36085027301,236.26
3283557,36047005000,36085007400,192.22
3283574,36047005000,36085001800,186.66
3283580,36047005000,36085014700,186.55
3283589,36047005000,36085013302,178.53
3283592,36047005000,36047005601,12.94
3283594,36047005000,36047005400,11.07
3283595,36047005000,36047005202,7.09
3283602,36047005000,36085006700,157.57
3283606,36047005000,36047005201,4.68
3283608,36047005000,36047005000,0.0
3283609,36047005000,36047004600,7.83
3283610,36047005000,36047004400,10.32
3283634,36047005000,36047013200,31.73
3283639,36047005000,36047012801,34.05
3283644,36047005000,36047012600,32.31
3283666,36047005000,36047007000,27.9
3283675,36047005000,36047002200,35.49
3283689,36047005000,36047008600,59.01
3283690,36047005000,36047003800,17.14
3283693,36047005000,36047003400,20.93
3283733,36047005000,36047008500,80.38
