,origin,destination,minutes
1667252,17031170600,17031220702,123.36
1667254,17031170600,17031250400,84.9
1667258,17031170600,17031200100,102.16
1667261,17031170600,17031250500,61.99
1667263,17031170600,17031191301,68.71
1667265,17031170600,17031831600,49.09
1667267,17031170600,17031190601,66.17
1667268,17031170600,17031190702,86.63
1667272,17031170600,17031180100,41.48
1667278,17031170600,17031190200,87.76
1667279,17031170600,17031171000,40.02
1667282,17031170600,17031151100,73.88
1667284,17031170600,17031151002,87.06
1667286,17031170600,17031170200,56.98
1667292,17031170600,17031170100,58.29
1667298,17031170600,17031150300,78.38
1667299,17031170600,17031150200,87.8
1667300,17031170600,17031160200,104.44
1667301,17031170600,17031150501,61.97
1667303,17031170600,17031160100,103.3
1667304,17031170600,17031110502,89.55
1667307,17031170600,17031110300,73.04
1667308,17031170600,17031140400,111.69
1667310,17031170600,17031110200,92.74
1667313,17031170600,17031100300,79.01
1667314,17031170600,17031120400,104.1
1667315,17031170600,17031130200,136.77
1667317,17031170600,17031100100,94.61
1667318,17031170600,17031120300,129.91
1667319,17031170600,17031100200,92.4
1667320,17031170600,17031090300,87.69
1667321,17031170600,17031120200,123.79
1667322,17031170600,17031120100,136.04
1667324,17031170600,17031090200,96.96
1667327,17031170600,17031161200,97.61
1667331,17031170600,17031140500,112.49
1667743,17031760801,17031170600,59.76
1667746,17031760801,17031170700,68.68
1667751,17031760801,17031100500,25.75
1667753,17031760801,17031760801,0.0
1667783,17031760801,17031250500,121.74
1667785,17031760801,17031191301,128.46
1667787,17031760801,17031831600,108.84
1667789,17031760801,17031190601,125.93
1667790,17031760801,17031190702,141.93
1667794,17031760801,17031180100,100.95
1667800,17031760801,17031190200,135.9
1667801,17031760801,17031171000,94.45
1667804,17031760801,17031151100,120.7
1667806,17031760801,17031151002,127.39
1667808,17031760801,17031170200,96.86
1667813,17031760801,17031170100,90.41
1667819,17031760801,17031150300,96.12
1667820,17031760801,17031150200,101.92
1667821,17031760801,17031160200,118.56
1667822,17031760801,17031150501,78.7
1667824,17031760801,17031160100,110.81
1667825,17031760801,17031110502,88.28
1667828,17031760801,17031110300,63.8
1667829,17031760801,17031140400,114.26
1667831,17031760801,17031110200,75.06
1667834,17031760801,17031100300,48.89
1667835,17031760801,17031120400,96.07
1667836,17031760801,17031130200,129.68
1667838,17031760801,17031100100,71.75
1667839,17031760801,17031120300,119.11
1667840,17031760801,17031100200,62.28
1667841,17031760801,17031090300,47.33
1667842,17031760801,17031120200,100.03
1667843,17031760801,17031120100,106.19
1667846,17031760801,17031090200,56.61
1668266,17031170700,17031170600,8.94
1668269,17031170700,17031170700,0.0
1668274,17031170700,17031100500,52.82
1668276,17031170700,17031760801,68.68
1668290,17031170700,17031252101,125.08
1668293,17031170700,17031251800,136.15
1668294,17031170700,17031251600,123.8
1668295,17031170700,17031251700,126.64
1668296,17031170700,17031842100,126.08
1668301,17031170700,17031251400,108.72
1668302,17031170700,17031251500,116.06
1668304,17031170700,17031251200,107.36
1668308,17031170700,17031230600,116.12
1668310,17031170700,17031250800,104.08
